anus	פי הטבעת	noun, body, (m)
arm	זרוע	noun, body, (f)
blood	דם	noun, body, (m)
body	גוף	noun, body, (m)
brain	מוח	noun, body, (m)
breast	שד	noun, body, (m)
breasts	שדיים	noun, body, (dm)
bone	עצם	noun, body, (f)
cheek	לחי	noun, body, (f)
ear	אוזן	noun, body, (f)
ears	אוזניים	noun, body, (df)
eye	עין	noun, body, (f)
eyes	עיניים	noun, body, (df)
finger	אצבע	noun, body, (f)
fist	אגרוף	noun, body, (m)
foot	כף רגל	noun, body, (f)
hand	יד	noun, body, (f)
hair	שיער	noun, body, (m)
heart	לב	noun, body, (m)
jaw	לסת	noun, body, (f)
leg	רגל	noun, body, (f)
legs	רגליים	noun, body, (df)
mouth	פה	noun, body, (m)
nose	אף	noun, body, (m)
ovary	שחלה	noun, body, (f)
penis	פין	noun, body, (m)
stomach	בטן	noun, body, (f)
testicle	אשך	noun, body, (m)
thumb	אגודל	noun, body, root=גדל, (m)
toe	בוהן	noun, body, (f)
uterus	רחם	noun, body, (m)
vagina	נרתיק	noun, body, (m)
