apple	תפוח	noun, food, (m)
aubergine	חציל	noun, food, (m)
beer	בירה	noun, drink, (f)
bread	לכם	noun, food, (m)
cake	עוגה	noun, drink, (f)
cheese	גבינה	noun, food, (f)
egg	ביצה	noun, food, (f)
eggplant	חציל	noun, food, (m)
honey	דבש	noun, food, (m)
hummus	חומוס	noun, food, (m)
juice	מיץ	noun, drink, (m)
lemon	לימון	noun, food, (m)
milk	חלב	noun, drink, (m)
orange	תפוז	noun, food, (m)
peach	אפרסק	noun, food, (m)
pear	אגס	noun, food, (m)
pepper	פלפל	noun, food, (m), [spice]
pepper	פפריקה	noun, food, (f), [vegetable]
plum	שזיף	noun, food, (m)
potato	תפוח אדמה	noun, food, (m)
rice	אורז	noun, food, (m)
salt	מלח	noun, food, (m)
soup	מרק	noun, food, (m)
sugar	סוכר	noun, food, (m)
tomato	עגבניה	noun, food, (f)
wine	יין	noun, drink, (m)
