zero	אפס	number, (m)
one	אחד	number, (m)
one	אחת	number, (f)
two	שנים	number, (m)
two	שתים	number, (f)
three	שלושה	number, (m)
three	שלוש	number, (f)
four	ארבעה	number, (m)
four	ארבע	number, (f)
five	חמשה	number, (m)
five	חמש	number, (f)
six	ששה	number, (m)
six	שש	number, (f)
seven	שבעה	number, (m)
seven	שבע	number, (f)
eight	שמונה	number, (m)
eight	שמונה	number, (f)
nine	תשעה	number, (m)
nine	תשע	number, (f)
ten	עשרה	number, (m)
ten	עשר	number, (f)
twenty	עשרים	number
thirty	שלושים	number
forty	רביעים	number
fifty	חמשים	number
sixty	שישים	number
seventy	שביעים	number
eighty	שמונים	number
ninety	תשעים	number
hundred	מאה	number
two hundred	מאתיים	number
thousand	אלף	number
two thousand	אלפים	number
million	מיליון	number
first	ראשון	number, ordinal, (m)
first	ראשונה	number, ordinal, (f)
second	שני	number, ordinal, (m)
second	שנייה	number, ordinal, (f)
third	שלישי	number, ordinal, (m)
third	שלישית	number, ordinal, (f)
fourth	רביעי	number, ordinal, (m)
fourth	רביעית	number, ordinal, (f)
fifth	חמישי	number, ordinal, (m)
fifth	חמישית	number, ordinal, (f)
sixth	שישי	number, ordinal, (m)
sixth	שישית	number, ordinal, (f)
seventh	שביעי	number, ordinal, (m)
seventh	שביעית	number, ordinal, (f)
eighth	שמיני	number, ordinal, (m)
eighth	שמינית	number, ordinal, (f)
ninth	תשיעי	number, ordinal, (m)
ninth	תשיעית	number, ordinal, (f)
tenth	עשירי	number, ordinal, (m)
tenth	עשירית	number, ordinal, (f)
