religion	דת	noun, religion, (f)
God	אלוהים	noun, religion, (m)
Jew	יהודי	noun, person, religion, (m)
Christian	נוצרי	noun, person, religion, (m)
Muslim	מוסלמי	noun, person, religion, (m)
Pope	אפיפיור	noun, person, religion, (m)
man	אדם	noun, person, (m)
person	איש	noun, person, (m)
human	איש	noun, person, (m)
woman	אישה	noun, person, (f)
men	אנשים	noun, person, (plm)
women	נשים	noun, person, (plf)
father	אבא	noun, person, family, (m)
mother	אמא	noun, person, family, (f)
grandfather	סבא	noun, person, family, (m)
grandmother	סבתא	noun, person, family, (f)
son	בן	noun, person, family, (m)
daughter	בת	noun, person, family, (f)
uncle	דוד	noun, person, family, (m)
aunt	דודה	noun, person, family, (f)
family	משפחה	noun, person, family, (f)
avaricious person	חמדן	noun, person, root=חמד, pattern=katlan, (m)
covetous person	חמדן	noun, person, root=חמד, pattern=katlan, (m)
cute	חמוד	noun, person, family, root=חמד, pattern=katul, (m)
darling	מחמד	noun, abstract, root=חמד, pattern=maktal, (m)
greedy person	חמדן	noun, person, root=חמד, pattern=katlan, (m)
sweetie	חמוד	noun, person, family, root=חמד, pattern=katul, (m)
